artist,date,city,country,showVenue,supportAct,revenue,tourName,ticketsSold,ticketsAvailable,source,soldOut
Taylor Swift,14 March 2013,Omaha,United States,CenturyLink Center Omaha,Ed Sheeran Brett Eldredge,2243164,The Red Tour,27877,27877,TS Kaggle,TRUE
Taylor Swift,18 March 2013,St. Louis,United States,Scottrade Center,Ed Sheeran Brett Eldredge,2346203,The Red Tour,28582,28582,TS Kaggle,TRUE
Taylor Swift,19 March 2013,St. Louis,United States,Scottrade Center,Ed Sheeran Brett Eldredge,2346203,The Red Tour,28582,28582,TS Kaggle,TRUE
Taylor Swift,22 March 2013,Charlotte,United States,Time Warner Cable Arena,Ed Sheeran Brett Eldredge,1162733,The Red Tour,14686,14686,TS Kaggle,TRUE
Taylor Swift,23 March 2013,Columbia,United States,Colonial Life Arena,Ed Sheeran Brett Eldredge,996114,The Red Tour,12490,12490,TS Kaggle,TRUE
Taylor Swift,27 March 2013,Newark,United States,Prudential Center,Ed Sheeran Florida Georgia Line,3565317,The Red Tour,38065,38065,TS Kaggle,TRUE
Taylor Swift,28 March 2013,Newark,United States,Prudential Center,Ed Sheeran Florida Georgia Line,3565317,The Red Tour,38065,38065,TS Kaggle,TRUE
Taylor Swift,29 March 2013,Newark,United States,Prudential Center,Ed Sheeran Florida Georgia Line,3565317,The Red Tour,38065,38065,TS Kaggle,TRUE
Taylor Swift,10 April 2013,Miami,United States,American Airlines Arena,Ed Sheeran Brett Eldredge,1010175,The Red Tour,12808,12808,TS Kaggle,TRUE
Taylor Swift,11 April 2013,Orlando,United States,Amway Center,Ed Sheeran Brett Eldredge,2054128,The Red Tour,25617,25617,TS Kaggle,TRUE
Taylor Swift,12 April 2013,Orlando,United States,Amway Center,Ed Sheeran Brett Eldredge,2054128,The Red Tour,25617,25617,TS Kaggle,TRUE
Taylor Swift,18 April 2013,Atlanta,United States,Philips Arena,Ed Sheeran Brett Eldredge,2048023,The Red Tour,25471,25471,TS Kaggle,TRUE
Taylor Swift,19 April 2013,Atlanta,United States,Philips Arena,Ed Sheeran Brett Eldredge,2048023,The Red Tour,25471,25471,TS Kaggle,TRUE
Taylor Swift,20 April 2013,Tampa,United States,Tampa Bay Times Forum,Ed Sheeran Brett Eldredge,1132095,The Red Tour,14080,14080,TS Kaggle,TRUE
Taylor Swift,25 April 2013,Cleveland,United States,Quicken Loans Arena,Ed Sheeran Brett Eldredge,1247605,The Red Tour,15336,15336,TS Kaggle,TRUE
Taylor Swift,26 April 2013,Indianapolis,United States,Bankers Life Fieldhouse,Ed Sheeran Brett Eldredge,1082042,The Red Tour,13573,13573,TS Kaggle,TRUE
Taylor Swift,27 April 2013,Lexington,United States,Rupp Arena,Ed Sheeran Brett Eldredge,1342699,The Red Tour,17003,17003,TS Kaggle,TRUE
Taylor Swift,04 May 2013,Detroit,United States,Ford Field,Ed Sheeran Austin Mahone Brett Eldredge,3969059,The Red Tour,48265,48265,TS Kaggle,TRUE
Taylor Swift,07 May 2013,Louisville,United States,KFC Yum! Center,Ed Sheeran Florida Georgia Line,1246491,The Red Tour,15135,15135,TS Kaggle,TRUE
Taylor Swift,08 May 2013,Columbus,United States,Nationwide Arena,Ed Sheeran Florida Georgia Line,1155170,The Red Tour,14267,14267,TS Kaggle,TRUE
Taylor Swift,11 May 2013,Washington,United States,Verizon Center,Ed Sheeran Brett Eldredge,2489205,The Red Tour,27619,27619,TS Kaggle,TRUE
Taylor Swift,12 May 2013,Washington,United States,Verizon Center,Ed Sheeran Brett Eldredge,2489205,The Red Tour,27619,27619,TS Kaggle,TRUE
Taylor Swift,16 May 2013,Houston,United States,Toyota Center,Ed Sheeran Brett Eldredge,961422,The Red Tour,12467,12467,TS Kaggle,TRUE
Taylor Swift,21 May 2013,Austin,United States,Frank Erwin Center,Ed Sheeran Florida Georgia Line,935631,The Red Tour,11916,11916,TS Kaggle,TRUE
Taylor Swift,22 May 2013,San Antonio,United States,AT&T Center,Ed Sheeran Florida Georgia Line,1105253,The Red Tour,13974,13974,TS Kaggle,TRUE
Taylor Swift,25 May 2013,Arlington,United States,Cowboys Stadium,Ed Sheeran Austin Mahone Florida Georgia Line,4589266,The Red Tour,53020,53020,TS Kaggle,TRUE
Taylor Swift,28 May 2013,Glendale,United States,Jobing.com Arena,Ed Sheeran Joel Crouse,2239370,The Red Tour,26705,26705,TS Kaggle,TRUE
Taylor Swift,29 May 2013,Glendale,United States,Jobing.com Arena,Ed Sheeran Joel Crouse,2239370,The Red Tour,26705,26705,TS Kaggle,TRUE
Taylor Swift,01 June 2013,Salt Lake City,United States,EnergySolutions Arena,Ed Sheeran Joel Crouse,1139360,The Red Tour,14007,14007,TS Kaggle,TRUE
